id,name,name@pt,description,description@pt,invoice_label,invoice_label@pt,sequence,amount,amount_type,type_tax_use,tax_group_id,active,tax_scope,repartition_line_ids/factor_percent,repartition_line_ids/repartition_type,repartition_line_ids/document_type,repartition_line_ids/tag_ids,repartition_line_ids/account_id,l10n_pt_tax_type,l10n_pt_withholding,l10n_pt_vat_exempt_reason,active
,,,,,,,,,,,,,,-100,tax,refund,-trp_tax_favor_company_24,chart_24341,,,,
iva_pt_purchase_intermedia,13% Goods,13% Bens,VAT 13% Goods,IVA 13% Bens,VAT 13%,IVA 13%,12,13,percent,purchase,tax_group_iva_13,,consu,100,base,invoice,,,IVA,,,
,,,,,,,,,,,,,,100,tax,invoice,+trp_tax_favor_company_24,chart_24331,,,,
,,,,,,,,,,,,,,100,base,refund,,,,,,
,,,,,,,,,,,,,,100,tax,refund,+trp_tax_favor_company_24,chart_24331,,,,
iva_pt_purchase_intermedia_ic,13% Goods (Intracommunity),13% Bens (Intracomunitário),VAT 13% Goods (IC),IVA 13% Bens (IC),VAT 13%,IVA 13%,12,13,percent,purchase,tax_group_iva_13,,consu,100,base,invoice,,,IVA,,,
,,,,,,,,,,,,,,100,tax,invoice,+trp_tax_favor_company_24,chart_24321,,,,
,,,,,,,,,,,,,,-100,tax,invoice,+trp_tax_favor_company_24,chart_24331,,,,
,,,,,,,,,,,,,,100,base,refund,,,,,,
,,,,,,,,,,,,,,100,tax,refund,+trp_tax_favor_company_24,chart_24342,,,,
,,,,,,,,,,,,,,-100,tax,refund,+trp_tax_favor_company_24,chart_24341,,,,
iva_pt_purchase_intermedia_ec,13% Goods (Extracommunity),13% Bens (Extracomunitário),VAT 13% Goods (EC),IVA 13% Bens (EC),VAT 13%,IVA 13%,12,13,percent,purchase,tax_group_iva_13,,consu,100,base,invoice,,,IVA,,,
,,,,,,,,,,,,,,100,tax,invoice,+trp_tax_favor_company_24,chart_24321,,,,
,,,,,,,,,,,,,,-100,tax,invoice,+trp_tax_favor_company_24,chart_24331,,,,
,,,,,,,,,,,,,,100,base,refund,,,,,,
,,,,,,,,,,,,,,100,tax,refund,+trp_tax_favor_company_24,chart_24342,,,,
,,,,,,,,,,,,,,-100,tax,refund,+trp_tax_favor_company_24,chart_24341,,,,
iva_pt_purchase_intermedia_service,13% Services,13% Serviços,VAT 13% Services,IVA 13% Serviços,VAT 13%,IVA 13%,13,13,percent,purchase,tax_group_iva_13,,service,100,base,invoice,,,IVA,,,
,,,,,,,,,,,,,,100,tax,invoice,+trp_tax_favor_company_24,chart_24331,,,,
,,,,,,,,,,,,,,100,base,refund,,,,,,
,,,,,,,,,,,,,,100,tax,refund,+trp_tax_favor_company_24,chart_24331,,,,
iva_pt_purchase_intermedia_service_ic,13% Services (Intracommunity),13% Serviços (Intracomunitário),VAT 13% Services (IC),IVA 13% Serviços(IC),VAT 13%,IVA 13%,13,13,percent,purchase,tax_group_iva_13,,service,100,base,invoice,,,IVA,,,
,,,,,,,,,,,,,,100,tax,invoice,+trp_tax_favor_company_24,chart_24323,,,,
,,,,,,,,,,,,,,-100,tax,invoice,+trp_tax_favor_company_24,chart_24333,,,,
,,,,,,,,,,,,,,100,base,refund,,,,,,
,,,,,,,,,,,,,,100,tax,refund,+trp_tax_favor_company_24,chart_24342,,,,
,,,,,,,,,,,,,,-100,tax,refund,+trp_tax_favor_company_24,chart_24341,,,,
iva_pt_purchase_intermedia_service_ec,13% Services (Extracommunity),13% Serviços (Extracomunitário),VAT 13% Services (EC),IVA 13% Serviços(EC),VAT 13%,IVA 13%,13,13,percent,purchase,tax_group_iva_13,,service,100,base,invoice,,,IVA,,,
,,,,,,,,,,,,,,100,tax,invoice,+trp_tax_favor_company_24,chart_24323,,,,
,,,,,,,,,,,,,,-100,tax,invoice,+trp_tax_favor_company_24,chart_24333,,,,
,,,,,,,,,,,,,,100,base,refund,,,,,,
,,,,,,,,,,,,,,100,tax,refund,+trp_tax_favor_company_24,chart_24342,,,,
,,,,,,,,,,,,,,-100,tax,refund,+trp_tax_favor_company_24,chart_24341,,,,
iva_pt_purchase_intermedia_fixed_assets,13% Fixed Assets,13% Imobilizado,VAT 13% Fixed Assets,IVA 13% Imobilizado,VAT 13%,IVA 13%,14,13,percent,purchase,tax_group_iva_13,,,100,base,invoice,,,IVA,,,
,,,,,,,,,,,,,,100,tax,invoice,+trp_tax_favor_company_24,chart_24322,,,,
,,,,,,,,,,,,,,100,base,refund,,,,,,
,,,,,,,,,,,,,,100,tax,refund,+trp_tax_favor_company_24,chart_24342,,,,
iva_pt_purchase_intermedia_fixed_assets_ic,13% Fixed Assets (Intracommunity),13% Imobilizado (Intracomunitário),VAT 13% Fixed Assets (IC),IVA 13% Imobilizado (IC),VAT 13%,IVA 13%,14,13,percent,purchase,tax_group_iva_13,,,100,base,invoice,,,IVA,,,
,,,,,,,,,,,,,,100,tax,invoice,+trp_tax_favor_company_24,chart_24322,,,,
,,,,,,,,,,,,,,-100,tax,invoice,+trp_tax_favor_company_24,chart_24332,,,,
,,,,,,,,,,,,,,100,base,refund,,,,,,
,,,,,,,,,,,,,,100,tax,refund,+trp_tax_favor_company_24,chart_24342,,,,
,,,,,,,,,,,,,,-100,tax,refund,+trp_tax_favor_company_24,chart_24341,,,,
iva_pt_purchase_intermedia_fixed_assets_ec,13% Fixed Assets (Extracommunity),13% Imobilizado (Extracomunitário),VAT 13% Fixed Assets (EC),IVA 13% Imobilizado (EC),VAT 13%,IVA 13%,14,13,percent,purchase,tax_group_iva_13,,,100,base,invoice,,,IVA,,,
,,,,,,,,,,,,,,100,tax,invoice,+trp_tax_favor_company_24,chart_24322,,,,
,,,,,,,,,,,,,,-100,tax,invoice,+trp_tax_favor_company_24,chart_24332,,,,
,,,,,,,,,,,,,,100,base,refund,,,,,,
,,,,,,,,,,,,,,100,tax,refund,+trp_tax_favor_company_24,chart_24342,,,,
,,,,,,,,,,,,,,-100,tax,refund,+trp_tax_favor_company_24,chart_24341,,,,
iva_pt_purchase_reduzida,6% Goods,6% Bens,VAT 6% Goods,IVA 6% Bens,VAT 6%,IVA 6%,15,6,percent,purchase,tax_group_iva_6,,consu,100,base,invoice,,,IVA,,,
,,,,,,,,,,,,,,100,tax,invoice,+trp_tax_favor_company_24,chart_24331,,,,
,,,,,,,,,,,,,,100,base,refund,,,,,,
