"id","code","name","account_type","taxonomy_ids","reconcile","non_trade","name@pt","deprecated"
"chart_219131","219131","PIA - Customers C/C - Subsidiary Companies - National Market","asset_current","l10n_pt_apo.pt_taxo_24_s,l10n_pt_apo.pt_taxo_9_m","False","","PIA - Clientes C/C - Empresas Subsidiárias - Mercado Nacional"
"chart_219132","219132","PIA - Customers C/C - Subsidiary Companies - Intracommunity Market","asset_current","l10n_pt_apo.pt_taxo_24_s,l10n_pt_apo.pt_taxo_9_m","False","","PIA - Clientes C/C - Empresas Subsidiárias - Mercado Intracomunitário"
"chart_219133","219133","PIA - Customers C/C - Subsidiary Companies - Extracommunity Market","asset_current","l10n_pt_apo.pt_taxo_24_s,l10n_pt_apo.pt_taxo_9_m","False","","PIA - Clientes C/C - Empresas Subsidiárias - Mercado Extracomunitário"
"chart_21914","21914","Customers - Associated Companies","asset_receivable",,"True","","Clientes - empresas associadas","True"
"chart_219141","219141","PIA - Customers C/C - Associated Companies - National Market","asset_current","l10n_pt_apo.pt_taxo_24_s,l10n_pt_apo.pt_taxo_9_m","False","","PIA - Clientes C/C - Empresas Associadas - Mercado Nacional"
"chart_219142","219142","PIA - Customers C/C - Associated Companies - Intracommunity Market","asset_current","l10n_pt_apo.pt_taxo_24_s,l10n_pt_apo.pt_taxo_9_m","False","","PIA - Clientes C/C - Empresas Associadas - Mercado Intracomunitário"
"chart_219143","219143","PIA - Customers C/C - Associated Companies - Extracommunity Market","asset_current","l10n_pt_apo.pt_taxo_24_s,l10n_pt_apo.pt_taxo_9_m","False","","PIA - Clientes C/C - Empresas Associadas - Mercado Extracomunitário"
"chart_21915","21915","Customers - Joint Enterprises","asset_receivable",,"True","","Clientes - empreendimentos conjuntos","True"
"chart_219151","219151","PIA - Customers C/C - Joint Enterprises - National Market","asset_current","l10n_pt_apo.pt_taxo_24_s,l10n_pt_apo.pt_taxo_9_m","False","","PIA - Clientes C/C - Empreendimento Conjunto - Mercado Nacional"
"chart_219152","219152","PIA - Customers C/C - Joint Enterprises - Intracommunity Market","asset_current","l10n_pt_apo.pt_taxo_24_s,l10n_pt_apo.pt_taxo_9_m","False","","PIA - Clientes C/C - Empreendimento Conjunto - Mercado Intracomunitário"
"chart_219153","219153","PIA - Customers C/C - Joint Enterprises - Extracommunity Market","asset_current","l10n_pt_apo.pt_taxo_24_s,l10n_pt_apo.pt_taxo_9_m","False","","PIA - Clientes C/C - Empreendimento Conjunto - Mercado Extracomunitário"
"chart_21916","21916","Customers - Other Related Parties","asset_receivable",,"True","","Clientes - outras partes relacionadas","True"
"chart_219161","219161","PIA - Customers C/C - Other Related Parties - National Market","asset_current","l10n_pt_apo.pt_taxo_24_s,l10n_pt_apo.pt_taxo_9_m","False","","PIA - Clientes C/C - Outras Partes Relacionadas - Mercado Nacional"
"chart_219162","219162","PIA - Customers C/C - Other Related Parties - Intracommunity Market","asset_current","l10n_pt_apo.pt_taxo_24_s,l10n_pt_apo.pt_taxo_9_m","False","","PIA - Clientes C/C - Outras Partes Relacionadas - Mercado Intracomunitário"
"chart_219163","219163","PIA - Customers C/C - Other Related Parties - Extracommunity Market","asset_current","l10n_pt_apo.pt_taxo_24_s,l10n_pt_apo.pt_taxo_9_m","False","","PIA - Clientes C/C - Outras Partes Relacionadas - Mercado Extracomunitário"
"chart_21921","21921","General Customers","asset_receivable",,"True","","Clientes gerais","True"
"chart_219211","219211","PIA - Customers TR - General Customers - National Market","asset_current","l10n_pt_apo.pt_taxo_24_s,l10n_pt_apo.pt_taxo_9_m","False","","PIA - Clientes TR - Clientes Gerais - Mercado Nacional"
"chart_219212","219212","PIA - Customers TR - General Customers - Intracommunity Market","asset_current","l10n_pt_apo.pt_taxo_24_s,l10n_pt_apo.pt_taxo_9_m","False","","PIA - Clientes TR - Clientes Gerais - Mercado Intracomunitário"
"chart_219213","219213","PIA - Customers TR - General Customers - Extracommunity Market","asset_current","l10n_pt_apo.pt_taxo_24_s,l10n_pt_apo.pt_taxo_9_m","False","","PIA - Clientes TR - Clientes Gerais - Mercado Extracomunitário"
"chart_21922","21922","Customers - Mother Company","asset_receivable",,"True","","Clientes - empresa-mãe","True"
"chart_219221","219221","PIA - Customers TR - Mother Company - National Market","asset_current","l10n_pt_apo.pt_taxo_24_s,l10n_pt_apo.pt_taxo_9_m","False","","PIA - Clientes TR - Empresa Mãe - Mercado Nacional"
"chart_219222","219222","PIA - Customers TR - Mother Company - Intracommunity Market","asset_current","l10n_pt_apo.pt_taxo_24_s,l10n_pt_apo.pt_taxo_9_m","False","","PIA - Clientes TR - Empresa Mãe - Mercado Intracomunitário"
"chart_219223","219223","PIA - Customers TR - Mother Company - Extracommunity Market","asset_current","l10n_pt_apo.pt_taxo_24_s,l10n_pt_apo.pt_taxo_9_m","False","","PIA - Clientes TR - Empresa Mãe - Mercado Extracomunitário"
"chart_21923","21923","Customers - Subsidiary Companies","asset_receivable",,"True","","Clientes - empresas subsidiárias","True"
"chart_219231","219231","PIA - Customers TR - Subsidiary Companies - National Market","asset_current","l10n_pt_apo.pt_taxo_24_s,l10n_pt_apo.pt_taxo_9_m","False","","PIA - Clientes TR - Empresas Subsidiárias - Mercado Nacional"
"chart_219232","219232","PIA - Customers TR - Subsidiary Companies - Intracommunity Market","asset_current","l10n_pt_apo.pt_taxo_24_s,l10n_pt_apo.pt_taxo_9_m","False","","PIA - Clientes TR - Empresas Subsidiárias - Mercado Intracomunitário"
"chart_219233","219233","PIA - Customers TR - Subsidiary Companies - Extracommunity Market","asset_current","l10n_pt_apo.pt_taxo_24_s,l10n_pt_apo.pt_taxo_9_m","False","","PIA - Clientes TR - Empresas Subsidiárias - Mercado Extracomunitário"
"chart_21924","21924","Customers - Associated Companies","asset_receivable",,"True","","Clientes - empresas associadas","True"
"chart_219241","219241","PIA - Customers TR - Associated Companies - National Market","asset_current","l10n_pt_apo.pt_taxo_24_s,l10n_pt_apo.pt_taxo_9_m","False","","PIA - Clientes TR - Empresas Associadas - Mercado Nacional"
"chart_219242","219242","PIA - Customers TR - Associated Companies - Intracommunity Market","asset_current","l10n_pt_apo.pt_taxo_24_s,l10n_pt_apo.pt_taxo_9_m","False","","PIA - Clientes TR - Empresas Associadas - Mercado Intracomunitário"
"chart_219243","219243","PIA - Customers TR - Associated Companies - Extracommunity Market","asset_current","l10n_pt_apo.pt_taxo_24_s,l10n_pt_apo.pt_taxo_9_m","False","","PIA - Clientes TR - Empresas Associadas - Mercado Extracomunitário"
"chart_21925","21925","Customers - Joint Enterprises","asset_receivable",,"True","","Clientes - empreendimentos conjuntos","True"
"chart_219251","219251","PIA - Customers TR - Joint Enterprises - National Market","asset_current","l10n_pt_apo.pt_taxo_24_s,l10n_pt_apo.pt_taxo_9_m","False","","PIA - Clientes TR - Empreendimento Conjunto - Mercado Nacional"
"chart_219252","219252","PIA - Customers TR - Joint Enterprises - Intracommunity Market","asset_current","l10n_pt_apo.pt_taxo_24_s,l10n_pt_apo.pt_taxo_9_m","False","","PIA - Clientes TR - Empreendimento Conjunto - Mercado Intracomunitário"
"chart_219253","219253","PIA - Customers TR - Joint Enterprises - Extracommunity Market","asset_current","l10n_pt_apo.pt_taxo_24_s,l10n_pt_apo.pt_taxo_9_m","False","","PIA - Clientes TR - Empreendimento Conjunto - Mercado Extracomunitário"
"chart_21926","21926","Customers - Other Related Parties","asset_receivable",,"True","","Clientes - outras partes relacionadas","True"
"chart_219261","219261","PIA - Customers TR - Other Related Parties - National Market","asset_current","l10n_pt_apo.pt_taxo_24_s,l10n_pt_apo.pt_taxo_9_m","False","","PIA - Clientes TR - Outras Partes Relacionadas - Mercado Nacional"
"chart_219262","219262","PIA - Customers TR - Other Related Parties - Intracommunity Market","asset_current","l10n_pt_apo.pt_taxo_24_s,l10n_pt_apo.pt_taxo_9_m","False","","PIA - Clientes TR - Outras Partes Relacionadas - Mercado Intracomunitário"
"chart_219263","219263","PIA - Customers TR - Other Related Parties - Extracommunity Market","asset_current","l10n_pt_apo.pt_taxo_24_s,l10n_pt_apo.pt_taxo_9_m","False","","PIA - Clientes TR - Outras Partes Relacionadas - Mercado Extracomunitário"
"chart_2193","2193","Other Customers","asset_receivable",,"True","","Outros Clientes","True"
"chart_219311","21931","PIA - Other Customers - National Market","asset_current","l10n_pt_apo.pt_taxo_24_s,l10n_pt_apo.pt_taxo_9_m","False","","PIA - Outros Clientes - Mercado Nacional"
"chart_219322","21932","PIA - Other Customers - Intracommunity Market","asset_current","l10n_pt_apo.pt_taxo_24_s,l10n_pt_apo.pt_taxo_9_m","False","","PIA - Outros Clientes - Mercado Intracomunitário"
"chart_219333","21933","PIA - Other Customers - Extracommunity Market","asset_current","l10n_pt_apo.pt_taxo_24_s,l10n_pt_apo.pt_taxo_9_m","False","","PIA - Outros Clientes - Mercado Extracomunitário"
"chart_2211","2211","General Suppliers","liability_payable",,"True","","Fornecedores gerais","True"
"chart_22111","22111","Suppliers C/C - General Suppliers - National Market","liability_payable","l10n_pt_apo.pt_taxo_37_s,l10n_pt_apo.pt_taxo_12_m","True","","Fornecedores C/C - Fornecedores Gerais - Mercado Nacional"
"chart_22112","22112","Suppliers C/C - General Suppliers - Intracommunity Market","liability_payable","l10n_pt_apo.pt_taxo_37_s,l10n_pt_apo.pt_taxo_12_m","True","","Fornecedores C/C - Fornecedores Gerais - Mercado Intracomunitário"
"chart_22113","22113","Suppliers C/C - General Suppliers - Extracommunity Market","liability_payable","l10n_pt_apo.pt_taxo_37_s,l10n_pt_apo.pt_taxo_12_m","True","","Fornecedores C/C - Fornecedores Gerais - Mercado Extracomunitário"
"chart_2212","2212","Suppliers - Mother Company","liability_payable",,"True","","Fornecedores - empresa-mãe","True"
"chart_22121","22121","Suppliers C/C - Mother Company - National Market","liability_payable","l10n_pt_apo.pt_taxo_38_s,l10n_pt_apo.pt_taxo_12_m","True","","Fornecedores C/C - Empresa Mãe - Mercado Nacional"
"chart_22122","22122","Suppliers C/C - Mother Company - Intracommunity Market","liability_payable","l10n_pt_apo.pt_taxo_38_s,l10n_pt_apo.pt_taxo_12_m","True","","Fornecedores C/C - Empresa Mãe - Mercado Intracomunitário"
