id,code_prefix_start,name,name@pt
chart_group_62423332,62423332,Combustíveis - Mercado Extracomunitário - GPL ou GNV - Sujeito a TA (15%),Combustíveis - Mercado Extracomunitário - GPL ou GNV - Sujeito a TA (15%)
chart_group_6242334,6242334,Combustíveis - Mercado Extracomunitário - GPL ou GNV - Sujeito a TA (0%),Combustíveis - Mercado Extracomunitário - GPL ou GNV - Sujeito a TA (0%)
chart_group_62423341,62423341,Combustíveis - Mercado Extracomunitário - GPL ou GNV - Sujeito a TA (0%),Combustíveis - Mercado Extracomunitário - GPL ou GNV - Sujeito a TA (0%)
chart_group_62423342,62423342,Combustíveis - Mercado Extracomunitário - GPL ou GNV - Sujeito a TA (0%),Combustíveis - Mercado Extracomunitário - GPL ou GNV - Sujeito a TA (0%)
chart_group_624234,624234,Combustíveis - Mercado Extracomunitário - Energia Elétrica,Combustíveis - Mercado Extracomunitário - Energia Elétrica
chart_group_6242341,6242341,Combustíveis - Mercado Extracomunitário - Energia Elétrica,Combustíveis - Mercado Extracomunitário - Energia Elétrica
chart_group_6243,6243,Água,Água
chart_group_6248,6248,Outros Fluidos,Outros Fluidos
chart_group_625,625,"Travel, accommodation and transportation","Deslocações, estadas e transportes"
chart_group_6251,6251,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - VLPM,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - VLPM
chart_group_62511,62511,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - VLPM,Deslocações e Estadas - Mercado Nacional - Portagens e Estacionamentos - VLPM
chart_group_625113,625113,Deslocações e Estadas - Mercado Nacional - Compens. util. viatura própria (km pagos),Deslocações e Estadas - Mercado Nacional - Compens. util. viatura própria (km pagos)
chart_group_6251131,6251131,Deslocações e Estadas - Mercado Nacional - Compens. util. viatura própria (km pagos),Deslocações e Estadas - Mercado Nacional - Compens. util. viatura própria (km pagos)
chart_group_6251132,6251132,Deslocações e Estadas - Mercado Nacional - Compens. util. viatura própria (km pagos),Deslocações e Estadas - Mercado Nacional - Compens. util. viatura própria (km pagos)
